category,entry,has_typo
CT Abdomen Pelvis without Contrast,"CT Abdomen plus Pelvis, Not Using Contrast",0
CT Abdomen Pelvis without Contrast,Abdominal-Pelvic CT: Absence of Contrast,0
CT Abdomen Pelvis without Contrast,No Contrast CT for Abdomen & Pelvis Area,0
CT Abdomen Pelvis without Contrast,"Pelvic and Abdominal CT, Contrast Not Included",0
CT Abdomen Pelvis without Contrast,CT of Abdomen & Pelvis - Contrast Not Applied,0
CT Abdomen Pelvis without Contrast,"Abdomen & Pelvis Imaging by CT, Without Contrast",0
CT Abdomen Pelvis without Contrast,"Computed Tomography Abdomen-Pelvis, Without Contrast Use",0
CT Abdomen Pelvis without Contrast,Abdomen and Pelvis CT Scan Lacking Contrast,0
CT Abdomen Pelvis without Contrast,"CT: Abdomen and Pelvis, Contrast-Free Technique",0
CT Abdomen Pelvis without Contrast,Abdomen-Pelvis CT Imaging Without Contrast Medium,0
CT Abdomen Pelvis without Contrast,CT for Abdomen and Pelvis Without Contrast Application,0
CT Abdomen Pelvis without Contrast,Abdominal and Pelvic CT Scan - No Contrast Used,0
CT Abdomen Pelvis without Contrast,Pelvis & Abdomen CT: No Contrast Inserted,0
CT Abdomen Pelvis without Contrast,CT Scan Abdomen & Pelvis - Contrast Exempt,0
CT Abdomen Pelvis without Contrast,Non-Contrast Focused CT: Abdomen and Pelvis,0
CT Abdomen Pelvis without Contrast,Abdomen and Pelvis Computed Tomography: No Contrast,0
CT Abdomen Pelvis without Contrast,"Computed Tomography: Abdomen-Pelvis, No Contrast",0
CT Abdomen Pelvis without Contrast,CT Abdomen-Pelvis: Without the Addition of Contrast,0
CT Abdomen Pelvis without Contrast,"Abdomen & Pelvis CT, Contrast Not Employed",0
CT Abdomen Pelvis without Contrast,No-Contrast Approach in CT Abdomen and Pelvis,0
CT Abdomen Pelvis without Contrast,"CT Scan, Abdomen & Pelvis, Without Contrast Enhancement",0
CT Abdomen Pelvis without Contrast,Abdomen and Pelvis - CT Scan Without Contrast Medium,0
CT Abdomen Pelvis without Contrast,"Non-Contrasted CT, Covering Abdomen and Pelvis",0
CT Abdomen Pelvis without Contrast,"Abdomen-Pelvis CT, Excluding Contrast Material",0
CT Abdomen Pelvis without Contrast,Computed Tomography Abdomen and Pelvis - No Contrast,0
CT Abdomen Pelvis without Contrast,"CT SCan Abdomen & Pelvis, No Contrast",1
CT Abdomen Pelvis without Contrast,CT Abdome and Pelvis without Conrast,1
CT Abdomen Pelvis without Contrast,Non-Contrast CT of Adomen and Pelvis,1
CT Abdomen Pelvis without Contrast,CT Abdomen and Pelivs without Contrast,1
CT Abdomen Pelvis without Contrast,"Abdomin and Pelvis CT, No Contrast",1
CT Abdomen Pelvis without Contrast,"Computed Tomgoraphy: Abdomen & Pelvis, No Contrast",1
CT Abdomen Pelvis without Contrast,"CT Scan for Abodmen Pelvis, No Contrast",1
CT Abdomen Pelvis without Contrast,CT Abdoemen Pelvis without Contrast,1
CT Abdomen Pelvis without Contrast,Abdomen-Pelvis CT w/out Conrast,1
CT Abdomen Pelvis without Contrast,Non-Constrast CT Scan: Abdomen & Pelvis,1
CT Abdomen Pelvis without Contrast,"Abdomen Pelvis Computed Tomography, No Contras",1
CT Abdomen Pelvis without Contrast,CT Abdomen Pelvis without Contras,1
CT Abdomen Pelvis without Contrast,"CT Scna: Abdomen & Pelvis, Without Contrast",1
CT Abdomen Pelvis without Contrast,"Abdomen and Pelvic CT, No Conrast",1
CT Abdomen Pelvis without Contrast,"CT Abdomne and Pelvis, No Contrast",1
CT Abdomen Pelvis without Contrast,CT for Abdomen & Plvis without Contrast,1
CT Abdomen Pelvis without Contrast,CT Abdomen & Pelvis - No Contras,1
CT Abdomen Pelvis without Contrast,Contrast-Free CT for Abdome & Pelvis,1
CT Abdomen Pelvis without Contrast,CT Abdomen & Pelvis wihout Contrast,1
CT Abdomen Pelvis without Contrast,Abdomen-Pelvis CT Scann Without Contrast,1
CT Abdomen Pelvis without Contrast,Computed Tomgraphy: Abdomen without Contrast,1
CT Abdomen Pelvis without Contrast,"CT Abodmen Pelvis, No Contrast",1
CT Abdomen Pelvis without Contrast,Pelvis and Abdomen CT - No Contrsat,1
CT Abdomen Pelvis without Contrast,Non-Contrast CT of the Abdomen & Pelvs,1
CT Abdomen Pelvis without Contrast,"CT Abdomen and Pelvis, No Contrast - Typo",1
CT Abdomen Pelvis without Contrast,"CT Scan Abdomen & Pelvis, Withot Contrast",1
CT Abdomen Pelvis without Contrast,"CT Abdomin Pelvis, No Contrast",1
CT Abdomen Pelvis without Contrast,Abdomen & Pelvis CT withuot Contrast,1
CT Abdomen Pelvis without Contrast,CT of Abdomen Pelvis w/o Contras,1
CT Abdomen Pelvis without Contrast,Abdomen Pelvis CT with No Contrsat,1
CT Head Angiography with Contrast,CT Angiography Head with Contrast,0
CT Head Angiography with Contrast,Head CT Angiography Contrast,0
CT Head Angiography with Contrast,Contrast CT Head Angiography,0
CT Head Angiography with Contrast,CT Angiography with Contrast for Head,0
CT Head Angiography with Contrast,Head with Contrast CT Angiography,0
CT Head Angiography with Contrast,Head CT Angiography - Contrast,0
CT Head Angiography with Contrast,CT Head Angio Contrast,0
CT Head Angiography with Contrast,Angiography CT of Head with Contrast,0
CT Head Angiography with Contrast,CT Scan of Head with Angiography and Contrast,0
CT Head Angiography with Contrast,Contrast-Enhanced CT Angiography of the Head,0
CT Head Angiography with Contrast,Head Angiography by CT with Contrast Usage,0
CT Head Angiography with Contrast,"CT Head Angiography, Including Contrast",0
CT Head Angiography with Contrast,Contrast CT Angiographic Examination of Head,0
CT Head Angiography with Contrast,CT Angiography in Head with Use of Contrast,0
CT Head Angiography with Contrast,Head Angiography CT Scan with Contrast,0
CT Head Angiography with Contrast,Contrast-Involved CT Angiography for Head,0
CT Head Angiography with Contrast,Computed Tomography Head Angiography with Contrast,0
CT Head Angiography with Contrast,CT Angiography: Head Region with Contrast,0
CT Head Angiography with Contrast,Contrast-Enabled CT Angiography of Head,0
CT Head Angiography with Contrast,Head and Angiography CT with Contrast,0
CT Head Angiography with Contrast,CT Angiography of the Head - Contrast Included,0
CT Head Angiography with Contrast,Angiography with Contrast in CT of Head,0
CT Head Angiography with Contrast,CT for Head Angiography with Contrast Medium,0
CT Head Angiography with Contrast,Head CT with Angiography and Contrast Enhancement,0
CT Head Angiography with Contrast,"Angiographic CT Scan of Head, Contrast Applied",0
CT Head Angiography with Contrast,CT Angiography: Contrast Method for Head,0
CT Head Angiography with Contrast,CT Imaging for Head Angiography with Contrast,0
CT Head Angiography with Contrast,"Head Angiography in CT Scan, Contrast Added",0
CT Head Angiography with Contrast,Angiography of Head with Contrast in CT,0
CT Head Angiography with Contrast,Contrast Applied CT Angiography for Head,0
CT Head Angiography with Contrast,CT Head Angiography Featuring Contrast,0
CT Head Angiography with Contrast,Head CT: Angiography with Contrast Technique,0
CT Head Angiography with Contrast,"CT Angiography for Head, Incorporating Contrast",0
CT Head Angiography with Contrast,"Computed Tomography Angiography, Head with Contrast",0
CT Head Angiography with Contrast,Head Angiography - CT with Contrast Usage,0
CT Head Angiography with Contrast,Angiography-CT of the Head with Contrast,0
CT Head Angiography with Contrast,"CT Angiography with Contrast, Focused on Head",0
CT Head Angiography with Contrast,"Head in CT Angiography, Contrast Included",0
CT Head Angiography with Contrast,Contrast-Inclusive CT for Head Angiography,0
CT Head Angiography with Contrast,CT Scan: Angiography in Head with Contrast,0
CT Head Angiography with Contrast,"Head Angiography via CT, Contrast Utilized",0
CT Head Angiography with Contrast,CT Head Angiography - Inclusion of Contrast,0
CT Head Angiography with Contrast,Computed Tomography with Contrast: Head Angiography,0
CT Head Angiography with Contrast,"Head Angiography, CT Scan with Contrast",0
CT Head Angiography with Contrast,CT Angiographic Study of Head with Contrast,0
CT Head Angiography with Contrast,"CT Examination: Head Angiography, Contrast Present",0
CT Head Angiography with Contrast,Angiography in the Head by CT with Contrast,0
CT Head Angiography with Contrast,CT with Contrast for Angiography of Head,0
CT Head Angiography with Contrast,Head Angiography and CT: Use of Contrast,0
CT Head Angiography with Contrast,"Contrast Enhanced Angiography, CT of Head",0
CT Head Angiography with Contrast,CT of the Head for Angiography with Contrast,0
CT Head Angiography with Contrast,Angiography of the Head in CT with Contrast,0
CT Head Angiography with Contrast,CT Head Angiography Utilizing Contrast,0
CT Head Angiography with Contrast,Contrast-Added CT Angiography in Head,0
CT Head Angiography with Contrast,Angiography CT Scan for Head with Contrast,0
CT Head Angiography with Contrast,"Computed Tomography Angiography in Head, Contrast Used",0
CT Head Angiography with Contrast,Head CT Angiography with Contrast Administration,0
CT Head Angiography with Contrast,"Angiography with Contrast, CT Head Scan",0
CT Head Angiography with Contrast,CT for Angiographic Study of Head with Contrast,0
CT Head Angiography with Contrast,"CT Angiography, Head, with Contrast Application",0
CT Head Angiography with Contrast,Head Angiography in Computed Tomography with Contrast,0
CT Head Angiography with Contrast,CT Head Angiography - Contrast Technique,0
CT Head Angiography with Contrast,Angiographic Head Examination by CT with Contrast,0
CT Head Angiography with Contrast,CT Scan Angiography: Head with Contrast Agent,0
CT Head Angiography with Contrast,Head Angiography Using CT and Contrast,0
CT Head Angiography with Contrast,Angiography of Head - CT with Contrast,0
CT Head Angiography with Contrast,"CT Angiography: Head, Including Contrast",0
CT Head Angiography with Contrast,"Head Angiography, Contrast-Enhanced CT",0
CT Head Angiography with Contrast,CT head Angiography with Conrast,1
CT Head Angiography with Contrast,CT Angiograpy Head with Contrast,1
CT Head Angiography with Contrast,Head CT Angigraphy with Contrast,1
CT Head Angiography with Contrast,Contrast Enhanced CT Hed Angiography,1
CT Head Angiography with Contrast,CT Angio with Contrast for hed,1
CT Head Angiography with Contrast,Head CT with Angioagraphy and Contrst,1
CT Head Angiography with Contrast,"CT Hed Angiography, Contrast Included",1
CT Head Angiography with Contrast,CT Scan: Angiogaphy in Head with Contrat,1
CT Head Angiography with Contrast,Contrast-Enhanced CT for Hed Angiography,1
CT Head Angiography with Contrast,"Head Angiography in CT, Contras Applied",1
CT Head Angiography with Contrast,CT Angiograph Head with Contrast,1
CT Head Angiography with Contrast,"Angiographic CT of Head, Contrats Applied",1
CT Head Angiography with Contrast,"Head Angiography in CT, with Contras",1
CT Head Angiography with Contrast,CT Angiography - Head with Cntrast,1
CT Head Angiography with Contrast,Contrast Inclued in CT Angiography for Head,1
CT Head Angiography with Contrast,Angiography CT for the Hed with Contrast,1
CT Head Angiography with Contrast,CT Head Agiography with Contrast,1
CT Head Angiography with Contrast,"CT Scan for Head Agniography, Contrast Used",1
CT Head Angiography with Contrast,Head CT Angio with Conrast,1
CT Head Angiography with Contrast,CT Angiogarphy of Head - Contrast,1
CT Head Angiography with Contrast,Angio CT head with Contrast,1
CT Head Angiography with Contrast,"CT Angiography, Head with Cntrast",1
CT Head Angiography with Contrast,Contrast-Inclused in CT Head Angiography,1
CT Head Angiography with Contrast,CT Angio for Head with Conrast,1
CT Head Angiography with Contrast,CT Head Aniography - Using Contrast,1
CT Head Angiography with Contrast,Head Angiography CT: Contrast Include,1
CT Head Angiography with Contrast,Head CT: Angiography with Contras,1
CT Head Angiography with Contrast,"CT Angiography for Hed, with Contrast",1
CT Head Angiography with Contrast,CT with Contrast - Head Angiogaphy,1
CT Head Angiography with Contrast,Computed Tomography Head Angio with Contrats,1
MR Abdomen Adrenal Without then with Contrast,MR Adrenal Without and With Contrast Abdomen,0
MR Abdomen Adrenal Without then with Contrast,Adrenal MR Abdomen Without and With Contrast,0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen Adrenal wo/w,0
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen Adrenal - Without, With Contrast",0
MR Abdomen Adrenal Without then with Contrast,Without and With Contrast for MR Abdomen Adrenal,0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen Adrenal - Contrast and Without,0
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal MR Without, With Contrast",0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen Adrenal: Without Then With Contrast,0
MR Abdomen Adrenal Without then with Contrast,"MR of Adrenal and Abdomen: First Without, Then With Contrast",0
MR Abdomen Adrenal Without then with Contrast,Abdomen and Adrenal MR: Sequential Without and With Contrast,0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen and Adrenal: Contrast Phases Without and With,0
MR Abdomen Adrenal Without then with Contrast,"Magnetic Resonance Abdomen Adrenal, Contrast Before and After",0
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal MR, No Contrast Followed by Contrast",0
MR Abdomen Adrenal Without then with Contrast,MR Imaging of Adrenal and Abdomen: Pre and Post Contrast,0
MR Abdomen Adrenal Without then with Contrast,"Adrenal Abdomen MR: Initially Without, Subsequently With Contrast",0
MR Abdomen Adrenal Without then with Contrast,"MR for Abdomen Adrenal: First Without Contrast, Then With",0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen Adrenal with Dual Phases: Without and With Contrast,0
MR Abdomen Adrenal Without then with Contrast,"Adrenal and Abdomen MR, Transitioning from Without to With Contrast",0
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen Adrenal, Contrast Staging: Absent, Then Present",0
MR Abdomen Adrenal Without then with Contrast,"Sequential Contrast MR: Abdomen Adrenal, Without to With",0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen Adrenal in Two Phases: Non-Contrast and Contrast,0
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal MR, Without Contrast Initially, Then With",0
MR Abdomen Adrenal Without then with Contrast,MR of Abdomen and Adrenal Glands: Non-Contrast and Contrast,0
MR Abdomen Adrenal Without then with Contrast,MR Study of Abdomen Adrenal: Pre-Contrast and Post-Contrast,0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen Adrenal: Phases Without and Then With Contrast,0
MR Abdomen Adrenal Without then with Contrast,"Adrenal Abdomen MR: No Contrast, Followed by With Contrast",0
MR Abdomen Adrenal Without then with Contrast,MR Imaging Abdomen Adrenal: Contrast Variation Technique,0
MR Abdomen Adrenal Without then with Contrast,"Abdomen and Adrenal MR, First Without, Then With Contrast",0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen Adrenal: Two-Stage Contrast Imaging,0
MR Abdomen Adrenal Without then with Contrast,Magnetic Resonance of Abdomen and Adrenal: Without/With Contrast,0
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen Adrenal, Contrast Alternation: Without and With",0
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal Magnetic Resonance, From No to Full Contrast",0
MR Abdomen Adrenal Without then with Contrast,"MR Sequential Abdomen Adrenal: Without, Then With Contrast",0
MR Abdomen Adrenal Without then with Contrast,"MR Adrenal Abdomen: Contrast Progression, None to Present",0
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal MR: First Phase Without, Second With Contrast",0
MR Abdomen Adrenal Without then with Contrast,MR for Adrenal and Abdomen: Contrast Switch Technique,0
MR Abdomen Adrenal Without then with Contrast,Abdomen Adrenal MR: Non-Contrast Followed by Contrast Phase,0
MR Abdomen Adrenal Without then with Contrast,"Magnetic Resonance: Adrenal and Abdomen, Without Then With Contrast",0
MR Abdomen Adrenal Without then with Contrast,MR Adrenal Abdomen: Pre-Contrast Followed by Post-Contrast Phase,0
MR Abdomen Adrenal Without then with Contrast,"MR Imaging for Abdomen and Adrenal: No Contrast, Then Contrast",0
MR Abdomen Adrenal Without then with Contrast,"Adrenal Abdomen in MR: Contrast Phased Imaging, Without to With",0
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen with Adrenal Glands: Contrast Sequence, None to Yes",0
MR Abdomen Adrenal Without then with Contrast,"MR: Abdomen and Adrenal, Contrast Change from Without to With",0
MR Abdomen Adrenal Without then with Contrast,Sequential MR Abdomen Adrenal: Non-Contrast to Contrast Mode,0
MR Abdomen Adrenal Without then with Contrast,MR of the Abdomen and Adrenal: Contrast Shift Imaging,0
MR Abdomen Adrenal Without then with Contrast,"Adrenal and Abdomen MR Contrast Procedure: Initially Without, Later With",0
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen Adrenal Phases: Without Contrast, Then With Contrast",0
MR Abdomen Adrenal Without then with Contrast,"MR Adrenal in the Abdomen: Without Contrast, Followed by With",0
MR Abdomen Adrenal Without then with Contrast,Abdomen Adrenal MR Imaging: Transition from No to Yes Contrast,0
MR Abdomen Adrenal Without then with Contrast,Magnetic Resonance Adrenal Abdomen: Contrast Dual-Phase,0
MR Abdomen Adrenal Without then with Contrast,"MR Sequential Imaging for Adrenal Abdomen: No, Then Yes Contrast",0
MR Abdomen Adrenal Without then with Contrast,Abdomen and Adrenal MR: From Without Contrast to With Contrast,0
MR Abdomen Adrenal Without then with Contrast,"MR Dual-Phase: Abdomen and Adrenal, No Contrast to Contrast",0
MR Abdomen Adrenal Without then with Contrast,"MR Adrenal and Abdomen: First Phase Without, Second With Contrast",0
MR Abdomen Adrenal Without then with Contrast,Adrenal Abdomen Magnetic Resonance: Phase Shift in Contrast,0
MR Abdomen Adrenal Without then with Contrast,"MR Procedure Adrenal Abdomen: Contrast Variation, Without to With",0
MR Abdomen Adrenal Without then with Contrast,"Magnetic Resonance of Abdomen Adrenal: Without, Then Contrast",0
MR Abdomen Adrenal Without then with Contrast,MR Abdomen and Adrenal: Pre and Post Contrast Technique,0
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal MR: No Contrast Initially, Contrast Subsequently",0
MR Abdomen Adrenal Without then with Contrast,MR for Adrenal Abdomen: Sequential Contrast Stages,0
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen with Adrenal Contrast: First Without, Then With",0
MR Abdomen Adrenal Without then with Contrast,Adrenal Abdomen MR: Contrast Transition Imaging,0
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen Adrenal, Two-Phase Contrast: No, Then Yes",0
MR Abdomen Adrenal Without then with Contrast,"Adrenal and Abdomen in MR: Contrast Before, Contrast After",0
MR Abdomen Adrenal Without then with Contrast,"MR of Abdomen Adrenal: Non-Contrast, Then Contrast Imaging",0
MR Abdomen Adrenal Without then with Contrast,Magnetic Resonance Abdomen with Adrenal: Without/With Contrast,0
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal MR: Initial No Contrast, Followed by Yes Contrast",0
MR Abdomen Adrenal Without then with Contrast,MR Abdome Adrenal Without then with Contrat,1
MR Abdomen Adrenal Without then with Contrast,"Magnetic Resonance: Adrnal Abdomen, Without Then With Cntrast",1
MR Abdomen Adrenal Without then with Contrast,MR Adernal Abdomin: Pre-Contrast Followd by Post-Contrast,1
MR Abdomen Adrenal Without then with Contrast,"MR Imagng for Abdomen & Adrenal: No Contrst, Then Contrast",1
MR Abdomen Adrenal Without then with Contrast,"Adrenal Abdomn in MR: Contrast Phased Imgaging, Without to With",1
MR Abdomen Adrenal Without then with Contrast,"MR: Abomen and Adrenal, Contrast Chnage from Without to With",1
MR Abdomen Adrenal Without then with Contrast,Sequntial MR Abdomen Adrenal: Non-Contrast to Cntrast Mode,1
MR Abdomen Adrenal Without then with Contrast,MR of the Abdmen and Adrenal: Contrast Shft Imaging,1
MR Abdomen Adrenal Without then with Contrast,"Adrenal and Abdmen MR Contrast Procdure: Initially Without, Later With",1
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen Adrnal Phases: Without Contrast, Then Wth Contrast",1
MR Abdomen Adrenal Without then with Contrast,"MR Adrenal in the Abdomn: Without Contrast, Followed by Wth",1
MR Abdomen Adrenal Without then with Contrast,Abdomen Adrnal MR Imaging: Transistion from No to Yes Contrast,1
MR Abdomen Adrenal Without then with Contrast,Magnetic Resonance Adreal Abdomen: Contrast Dual-Phas,1
MR Abdomen Adrenal Without then with Contrast,"MR Seqential Imaging for Adrenal Abdmen: No, Then Yes Contrast",1
MR Abdomen Adrenal Without then with Contrast,Abdomen and Adrenal MR: From Without Contrat to With Contrast,1
MR Abdomen Adrenal Without then with Contrast,"MR Dual-Phse: Abdomen and Adrenal, No Contrst to Contrast",1
MR Abdomen Adrenal Without then with Contrast,"MR Adrenal and Abdomn: First Phas Without, Second With Contrast",1
MR Abdomen Adrenal Without then with Contrast,Adrnal Abdomen Magnetic Resonance: Phase Shft in Contrast,1
MR Abdomen Adrenal Without then with Contrast,"MR Procedur Adrenal Abdomen: Contrast Vartion, Without to With",1
MR Abdomen Adrenal Without then with Contrast,"Magnetic Resonance of Abdomen Adrnal: Without, Then Conrast",1
MR Abdomen Adrenal Without then with Contrast,MR Abdomn and Adrenal: Pre and Post Contrat Technique,1
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal MR: No Contrst Initially, Contrast Subsequenty",1
MR Abdomen Adrenal Without then with Contrast,MR for Adrenal Abdomn: Sequential Cntrast Stages,1
MR Abdomen Adrenal Without then with Contrast,"MR Abdmen with Adrenal Contrst: First Without, Then With",1
MR Abdomen Adrenal Without then with Contrast,Adrenal Abdomn MR: Contrast Trasition Imaging,1
MR Abdomen Adrenal Without then with Contrast,"MR Abdomen Adrenal, Two-Phas Contrast: No, Then Yes",1
MR Abdomen Adrenal Without then with Contrast,"Adrnal and Abdomen in MR: Contrast Bfore, Contrast After",1
MR Abdomen Adrenal Without then with Contrast,"MR of Abdomen Adrenal: Non-Contrast, Then Cntrast Imgaging",1
MR Abdomen Adrenal Without then with Contrast,Magnetic Resonance Abdmen with Adrenal: Without/Wth Contrast,1
MR Abdomen Adrenal Without then with Contrast,"Abdomen Adrenal MR: Initial No Conrast, Followed by Yes Contrast",1
